Date,lag_0,lag_1,lag_2,lag_3,rolling_mean_4w,vaksin_persen,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12
2021-10-17 00:00:00+00:00,-0.5769223000709159,-0.5539632314527128,-0.5209704236943208,-0.4460129721955505,-0.5668824947118897,0.6277387600565807,0,0,0,0,0,0,0,0,0,1,0,0
2021-10-24 00:00:00+00:00,-0.5964603501192322,-0.5767074610128197,-0.5537096587599071,-0.5206280954429294,-0.6073208112371795,0.7002957506137849,0,0,0,0,0,0,0,0,0,1,0,0
2021-10-31 00:00:00+00:00,-0.6079709457387514,-0.5962435308600027,-0.5764511327551409,-0.5533619085016139,-0.6307021116086291,0.7872858289492654,0,0,0,0,0,0,0,0,0,1,0,0
2021-11-07 00:00:00+00:00,-0.6146126343174761,-0.607752959869014,-0.5959848357203116,-0.5760996162381459,-0.6470305702206008,0.8587166492075712,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-14 00:00:00+00:00,-0.6285576834573926,-0.6143939753058839,-0.6074928703106549,-0.5956300841896676,-0.6609810979667513,0.9266527265096683,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-21 00:00:00+00:00,-0.6302181056020738,-0.628337611100966,-0.6141330811588791,-0.6071362129125448,-0.6701015590464398,0.9809102009273587,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-28 00:00:00+00:00,-0.6306300900439872,-0.6299978649601834,-0.6280750276202821,-0.6137753240628384,-0.6762234661690856,1.0348659286256379,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-05 00:00:00+00:00,-0.6403054822404377,-0.6304098076470569,-0.629735080332338,-0.6277149615720076,-0.6831650005263336,1.0860683421654833,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-12 00:00:00+00:00,-0.6439384359554919,-0.6400842192327226,-0.6301469731105174,-0.629374739359581,-0.6873204768762508,1.1393069162195328,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-19 00:00:00+00:00,-0.6446500454460696,-0.6437168047442435,-0.639820212598062,-0.6297865639234149,-0.6912196089058809,1.2039738257895216,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-26 00:00:00+00:00,-0.6469721395732178,-0.6444283421124796,-0.6434523580056433,-0.6394582014073954,-0.6956348025276679,1.2725202985470707,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-02 00:00:00+00:00,-0.6445501704298482,-0.6467502008930394,-0.644163809167953,-0.643089745288477,-0.6967816060657943,1.3940155918772799,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-09 00:00:00+00:00,-0.6243504483990651,-0.644328477218692,-0.6464853866449637,-0.6438010786260084,-0.6914894450324989,1.4496875598094556,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-16 00:00:00+00:00,-0.5940508653528903,-0.6241308024501667,-0.6440639563732429,-0.6461222716221637,-0.6778188722677145,1.5304957800300953,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-23 00:00:00+00:00,-0.4782582684211759,-0.5938342902973789,-0.6238687286431175,-0.6437012423681093,-0.632236804578769,1.593865005500114,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-30 00:00:00+00:00,0.047059348149463144,-0.4780534290624765,-0.5935758870479295,-0.6235093592080058,-0.4453820327989702,1.6388249780148942,1,0,0,0,0,0,0,0,0,0,0,0
2022-02-06 00:00:00+00:00,1.5013394593496296,0.047210946036415305,-0.4778090531808638,-0.5932215344678505,0.12892368728844786,1.6654887410597237,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-13 00:00:00+00:00,2.9745334017467284,1.5013436644764482,0.04739168379578216,-0.4774738729660209,1.0930616595008888,1.687705112271324,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-20 00:00:00+00:00,4.203358148204056,2.974388297177492,1.5013482275700951,0.04763988451904493,2.3579117571195933,1.7056039834037158,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-27 00:00:00+00:00,3.606130519953991,4.203088501003929,2.9742143943426402,1.5013556357886002,3.319479540225998,1.7190621285288237,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-06 00:00:00+00:00,1.9512264699190376,3.6059214023780255,4.202765735658156,2.9739778783978075,3.441027223461076,1.7365262382220843,0,0,1,0,0,0,0,0,0,0,0,0
2022-03-13 00:00:00+00:00,1.1077694735520776,1.951185078542318,3.6056709864902112,4.2023257569922645,2.936676519199374,1.7548573120612059,0,0,1,0,0,0,0,0,0,0,0,0
2022-03-20 00:00:00+00:00,0.23658467580664438,1.1078135673950147,1.9511351413419098,3.605329893819809,1.8649582562559193,1.770066916075407,0,0,1,0,0,0,0,0,0,0,0,0
2022-03-27 00:00:00+00:00,-0.20683542746242636,0.236717065109952,1.1078658084154593,1.9510680594953311,0.8347947568116367,1.7875135739015242,0,0,1,0,0,0,0,0,0,0,0,0
2022-04-03 00:00:00+00:00,-0.3996191775238316,-0.20665809708317598,0.23687484335760692,1.1079383820047535,0.19965785492977356,1.800412130811464,0,0,0,1,0,0,0,0,0,0,0,0
2022-04-10 00:00:00+00:00,-0.5032644756076151,-0.3994223083165304,-0.20644660195672626,0.23709166341492363,-0.23560130911138963,1.8085633599640003,0,0,0,1,0,0,0,0,0,0,0,0
2022-04-17 00:00:00+00:00,-0.5726776118815055,-0.503057101844526,-0.39918745894596924,-0.20615636259283737,-0.45424277660678875,1.817727912755715,0,0,0,1,0,0,0,0,0,0,0,0
2022-04-24 00:00:00+00:00,-0.6087449771144674,-0.5724632030268503,-0.5028096966564145,-0.3988652994026759,-0.5628282069094542,1.8270244305307795,0,0,0,1,0,0,0,0,0,0,0,0
2022-05-01 00:00:00+00:00,-0.6260608080518569,-0.6085269127958672,-0.5722073889799602,-0.5024703760375211,-0.62400680271692,1.832879413861865,0,0,0,0,1,0,0,0,0,0,0,0
2022-05-08 00:00:00+00:00,-0.6447748892163464,-0.625840988756278,-0.6082667294696585,-0.5718565752774319,-0.6622392089071077,1.832879413861865,0,0,0,0,1,0,0,0,0,0,0,0
2022-05-15 00:00:00+00:00,-0.6328647935319415,-0.644553173229714,-0.6255787077525287,-0.6079099439112633,-0.678500208487425,1.8362643543938237,0,0,0,0,1,0,0,0,0,0,0,0
2022-05-22 00:00:00+00:00,-0.6394939977336386,-0.6326442846455526,-0.6442886251613407,-0.6252190551245288,-0.6868077882356766,1.839926097284714,0,0,0,0,1,0,0,0,0,0,0,0
2022-05-29 00:00:00+00:00,-0.6393566695863341,-0.639272816970699,-0.6323811793921568,-0.6439258739483824,-0.6903999816712787,1.8440546448174138,0,0,0,0,1,0,0,0,0,0,0,0
